Series_Title,Released_Year,IMDB_Rating,No_of_Votes
"The Shawshank Redemption",1994,9.3,2343110
"The Godfather",1972,9.2,1620367
"The Dark Knight",2008,9.0,2303232
"The Godfather: Part II",1974,9.0,1129952
"12 Angry Men",1957,9.0,689845
"Pulp Fiction",1994,8.9,1826188
"The Lord of the Rings: The Return of the King",2003,8.9,1642758
"Schindler's List",1993,8.9,1213505
Inception,2010,8.8,2067042
"Fight Club",1999,8.8,1854740
"Forrest Gump",1994,8.8,1809221
"The Lord of the Rings: The Fellowship of the Ring",2001,8.8,1661481
"Il buono, il brutto, il cattivo",1966,8.8,688390
"The Matrix",1999,8.7,1676426
"The Lord of the Rings: The Two Towers",2002,8.7,1485555
"Star Wars: Episode V - The Empire Strikes Back",1980,8.7,1159315
Goodfellas,1990,8.7,1020727
"One Flew Over the Cuckoo's Nest",1975,8.7,918088
Interstellar,2014,8.6,1512360
Se7en,1995,8.6,1445096
