Series_Title,Released_Year,Gross
"Avengers: Endgame",2019,858373000
"Avengers: Infinity War",2018,678815482
"The Dark Knight",2008,534858444
"The Dark Knight Rises",2012,448139099
"The Lion King",1994,422783777
"Toy Story 3",2010,415004880
"Harry Potter and the Deathly Hallows: Part 2",2011,381011219
"The Lord of the Rings: The Return of the King",2003,377845905
"Inside Out",2015,356461711
"The Lord of the Rings: The Two Towers",2002,342551365
Joker,2019,335451311
"Forrest Gump",1994,330252182
"Star Wars",1977,322740140
"The Lord of the Rings: The Fellowship of the Ring",2001,315544750
"Star Wars: Episode VI - Return of the Jedi",1983,309125409
Up,2009,293004164
Inception,2010,292576195
"Star Wars: Episode V - The Empire Strikes Back",1980,290475067
"Raiders of the Lost Ark",1981,248159971
Logan,2017,226277068
